date,buy_volume,final_volume
01/10/2012,0,6335
02/10/2012,10000,13589
03/10/2012,0,11250
04/10/2012,10000,19200
05/10/2012,0,16616
06/10/2012,0,13097
07/10/2012,0,10994
08/10/2012,0,8821
09/10/2012,10000,16806
10/10/2012,0,14678
11/10/2012,10000,22089
12/10/2012,0,20017
13/10/2012,0,17417
14/10/2012,0,15885
15/10/2012,0,13868
16/10/2012,10000,21912
17/10/2012,0,19735
18/10/2012,0,17146
19/10/2012,0,14387
20/10/2012,10000,21560
21/10/2012,0,19858
22/10/2012,0,17779
23/10/2012,0,15696
24/10/2012,0,13718
25/10/2012,10000,21348
26/10/2012,0,18968
27/10/2012,0,15852
28/10/2012,0,14159
29/10/2012,10000,22046
30/10/2012,0,19558
31/10/2012,0,17011
01/11/2012,0,14248
02/11/2012,0,12182
03/11/2012,0,9974
04/11/2012,0,8388
05/11/2012,10000,16047
06/11/2012,0,14059
07/11/2012,10000,21664
08/11/2012,5000,24671
09/11/2012,5000,27261
10/11/2012,0,24336
11/11/2012,0,22293
12/11/2012,5000,25157
13/11/2012,0,22508
14/11/2012,5000,25148
15/11/2012,0,23149
16/11/2012,5000,25510
17/11/2012,0,23223
18/11/2012,0,21465
19/11/2012,0,19006
20/11/2012,0,15963
21/11/2012,5000,18557
22/11/2012,0,16205
23/11/2012,10000,23578
24/11/2012,0,20927
25/11/2012,0,19038
26/11/2012,0,16810
27/11/2012,0,14261
28/11/2012,10000,22114
29/11/2012,0,19755
30/11/2012,0,17033
01/12/2012,0,14133
02/12/2012,0,12216
03/12/2012,0,9752
04/12/2012,15000,22745
05/12/2012,0,19507
06/12/2012,0,16939
07/12/2012,10000,23825
08/12/2012,0,20787
09/12/2012,0,18733
10/12/2012,0,16074
11/12/2012,0,14136
12/12/2012,7000,19212
13/12/2012,6000,23396
14/12/2012,6000,26454
15/12/2012,0,24528
16/12/2012,0,22908
17/12/2012,6000,26623
18/12/2012,0,24488
19/12/2012,0,21930
20/12/2012,6000,25507
21/12/2012,0,22930
22/12/2012,4000,24265
23/12/2012,0,22664
24/12/2012,6000,26311
25/12/2012,0,25184
26/12/2012,0,23238
27/12/2012,4000,25427
28/12/2012,0,22540
29/12/2012,6000,26620
30/12/2012,0,25239
31/12/2012,0,23323
01/01/2013,0,22406
02/01/2013,4000,24903
03/01/2013,0,23342
04/01/2013,0,21278
05/01/2013,0,18723
06/01/2013,0,17527
07/01/2013,10000,25297
08/01/2013,0,23493
09/01/2013,0,21526
10/01/2013,4000,23982
11/01/2013,0,21498
12/01/2013,7000,26425
13/01/2013,0,25060
14/01/2013,0,23478
15/01/2013,6000,27685
16/01/2013,0,25934
17/01/2013,0,24435
18/01/2013,4000,26169
19/01/2013,0,23783
20/01/2013,0,22501
21/01/2013,6000,26247
22/01/2013,0,24692
23/01/2013,0,22583
24/01/2013,4000,24811
25/01/2013,0,21935
26/01/2013,0,19570
27/01/2013,0,18041
28/01/2013,10000,26566
29/01/2013,0,24699
30/01/2013,0,22909
31/01/2013,0,20762
01/02/2013,0,18279
02/02/2013,0,15396
03/02/2013,0,13641
04/02/2013,10000,21279
05/02/2013,0,18419
06/02/2013,10000,26135
07/02/2013,0,24066
08/02/2013,0,20918
09/02/2013,0,17205
10/02/2013,0,15400
11/02/2013,10000,23671
12/02/2013,0,21677
13/02/2013,0,19277
14/02/2013,4000,21108
15/02/2013,0,17926
16/02/2013,10000,25145
17/02/2013,0,23158
18/02/2013,0,20879
19/02/2013,0,18303
20/02/2013,0,15347
21/02/2013,10000,22283
22/02/2013,0,19834
23/02/2013,0,17371
24/02/2013,0,15507
25/02/2013,10000,23008
26/02/2013,0,20745
27/02/2013,0,18565
28/02/2013,0,15904
01/03/2013,10000,23412
02/03/2013,0,20833
03/03/2013,0,18849
04/03/2013,0,16268
05/03/2013,10000,24121
06/03/2013,0,21644
07/03/2013,0,19231
08/03/2013,0,16910
09/03/2013,0,14193
10/03/2013,0,11923
11/03/2013,4000,13429
12/03/2013,0,11035
13/03/2013,10000,18570
14/03/2013,0,16375
15/03/2013,0,13933
16/03/2013,10000,21186
17/03/2013,0,19773
18/03/2013,6000,23399
19/03/2013,0,21268
20/03/2013,0,18992
21/03/2013,4000,20831
22/03/2013,7000,25672
23/03/2013,0,23185
24/03/2013,0,21586
25/03/2013,6000,25099
26/03/2013,0,23069
27/03/2013,0,20825
28/03/2013,0,18149
29/03/2013,0,16457
30/03/2013,5000,18784
31/03/2013,0,16695
01/04/2013,10000,24730
02/04/2013,0,22834
03/04/2013,0,20491
04/04/2013,0,18205
05/04/2013,10000,25624
06/04/2013,0,22803
07/04/2013,0,21000
08/04/2013,3000,21845
09/04/2013,0,19744
10/04/2013,0,17589
11/04/2013,10000,25663
12/04/2013,0,22829
13/04/2013,6000,26522
14/04/2013,0,25007
15/04/2013,0,22921
16/04/2013,4000,24905
17/04/2013,0,22542
18/04/2013,0,20357
19/04/2013,4000,22042
20/04/2013,0,19164
21/04/2013,0,17370
22/04/2013,3000,18181
23/04/2013,0,15561
24/04/2013,0,13552
25/04/2013,10000,21542
26/04/2013,0,18949
27/04/2013,10000,26848
28/04/2013,0,25171
29/04/2013,0,22871
30/04/2013,6000,26568
01/05/2013,0,24479
02/05/2013,0,21921
03/05/2013,4000,23285
04/05/2013,0,20653
05/05/2013,0,18610
06/05/2013,4000,20044
07/05/2013,0,17777
08/05/2013,0,15175
09/05/2013,10000,23228
10/05/2013,0,20438
11/05/2013,6000,23708
12/05/2013,0,21861
13/05/2013,0,19705
14/05/2013,4000,21958
15/05/2013,0,19918
16/05/2013,0,17904
17/05/2013,6000,21661
18/05/2013,0,19085
19/05/2013,0,17495
20/05/2013,4000,19293
21/05/2013,0,17306
22/05/2013,6000,21663
23/05/2013,0,19681
24/05/2013,0,17097
25/05/2013,10000,24878
26/05/2013,0,23039
27/05/2013,0,20964
28/05/2013,4000,22735
29/05/2013,0,20448
30/05/2013,0,18497
31/05/2013,4000,20201
01/06/2013,0,17648
02/06/2013,0,16310
03/06/2013,6000,20192
04/06/2013,0,18134
05/06/2013,0,16028
06/06/2013,4000,17873
07/06/2013,0,15156
08/06/2013,6000,18717
09/06/2013,0,17285
10/06/2013,0,14851
11/06/2013,4000,16628
12/06/2013,0,14330
13/06/2013,10000,22477
14/06/2013,0,20486
15/06/2013,6000,23884
16/06/2013,0,22110
17/06/2013,6000,26041
18/06/2013,0,23934
19/06/2013,0,22039
20/06/2013,4000,24159
21/06/2013,0,21649
22/06/2013,6000,24759
23/06/2013,0,23001
24/06/2013,0,20982
25/06/2013,4000,22809
26/06/2013,0,20941
27/06/2013,0,18928
28/06/2013,4000,20626
29/06/2013,0,17644
30/06/2013,0,16090
01/07/2013,6000,20342
02/07/2013,0,18211
03/07/2013,4000,20556
04/07/2013,0,18858
05/07/2013,0,16096
06/07/2013,6000,19562
07/07/2013,0,17815
08/07/2013,10000,25935
09/07/2013,0,24188
10/07/2013,4000,26260
11/07/2013,0,24041
12/07/2013,0,21448
13/07/2013,6000,24923
14/07/2013,0,23820
15/07/2013,0,21664
16/07/2013,4000,23911
17/07/2013,0,22338
18/07/2013,0,20457
19/07/2013,4000,22190
20/07/2013,0,19898
21/07/2013,0,18299
22/07/2013,4000,20476
23/07/2013,0,18576
24/07/2013,0,16833
25/07/2013,6000,21504
26/07/2013,0,19563
27/07/2013,4000,21792
28/07/2013,0,20404
29/07/2013,0,18447
30/07/2013,0,16719
31/07/2013,3000,18162
01/08/2013,0,16372
02/08/2013,0,14024
03/08/2013,4000,15871
04/08/2013,0,14419
05/08/2013,0,12524
06/08/2013,0,10572
07/08/2013,3000,11694
08/08/2013,0,10163
09/08/2013,0,8387
10/08/2013,3000,9797
11/08/2013,0,8379
12/08/2013,6000,12661
13/08/2013,0,10447
14/08/2013,0,9009
15/08/2013,3000,10585
16/08/2013,0,8688
17/08/2013,6000,12960
18/08/2013,0,11581
19/08/2013,0,9852
20/08/2013,0,8197
21/08/2013,4000,10552
22/08/2013,0,8923
23/08/2013,0,7079
24/08/2013,4000,8950
25/08/2013,0,7253
26/08/2013,6000,11578
27/08/2013,0,9944
28/08/2013,4000,12258
29/08/2013,0,10881
30/08/2013,0,8820
31/08/2013,6000,13016
01/09/2013,0,11321
02/09/2013,0,9659
03/09/2013,4000,11757
04/09/2013,0,10095
05/09/2013,0,8300
06/09/2013,4000,9385
07/09/2013,0,7435
08/09/2013,0,6128
09/09/2013,3000,7115
10/09/2013,0,5531
11/09/2013,6000,10105
12/09/2013,0,8128
13/09/2013,6000,12026
14/09/2013,0,9881
15/09/2013,0,8471
16/09/2013,4000,10826
17/09/2013,0,8966
18/09/2013,6000,13574
19/09/2013,0,12169
20/09/2013,0,10209
21/09/2013,4000,11948
22/09/2013,0,10501
23/09/2013,0,8422
24/09/2013,4000,10697
25/09/2013,0,8996
26/09/2013,0,6900
27/09/2013,4000,8780
28/09/2013,0,6477
29/09/2013,0,5063
30/09/2013,6000,9347
01/10/2013,0,7487
02/10/2013,4000,9603
03/10/2013,0,7945
04/10/2013,6000,11666
05/10/2013,0,9276
06/10/2013,0,7943
07/10/2013,4000,10167
08/10/2013,0,8281
09/10/2013,4000,10758
10/10/2013,0,9325
11/10/2013,6000,13098
12/10/2013,0,10791
13/10/2013,0,9325
14/10/2013,4000,11329
15/10/2013,0,9659
16/10/2013,6000,13768
17/10/2013,0,12080
18/10/2013,0,9771
19/10/2013,4000,11666
20/10/2013,0,10330
21/10/2013,0,8151
22/10/2013,3000,9495
23/10/2013,0,7468
24/10/2013,0,5830
25/10/2013,4000,7840
26/10/2013,7000,12486
27/10/2013,0,11229
28/10/2013,0,9352
29/10/2013,3000,10501
30/10/2013,0,8807
31/10/2013,0,6744
01/11/2013,4000,8655
02/11/2013,0,6744
03/11/2013,0,5104
04/11/2013,4000,7041
05/11/2013,0,5129
06/11/2013,4000,7286
07/11/2013,0,5076
08/11/2013,0,2649
09/11/2013,4000,4450
10/11/2013,0,2740
11/11/2013,6000,6630
12/11/2013,0,4798
13/11/2013,6000,8744
14/11/2013,0,6075
15/11/2013,0,3926
16/11/2013,4000,5828
17/11/2013,0,4730
18/11/2013,6000,8898
19/11/2013,6000,12960
20/11/2013,0,10743
21/11/2013,0,8612
22/11/2013,4000,10255
23/11/2013,0,7728
24/11/2013,0,5960
25/11/2013,4000,8265
26/11/2013,6000,12729
27/11/2013,0,10696
28/11/2013,0,8319
29/11/2013,4000,9941
30/11/2013,0,7029
01/12/2013,0,5291
02/12/2013,4000,6662
03/12/2013,0,4353
04/12/2013,4000,6092
05/12/2013,0,3406
06/12/2013,6000,5872
07/12/2013,6000,8135
08/12/2013,0,5919
09/12/2013,4000,7261
10/12/2013,0,5038
11/12/2013,10000,12537
12/12/2013,0,10266
13/12/2013,0,7251
14/12/2013,3000,7326
15/12/2013,0,5084
16/12/2013,6000,8308
17/12/2013,0,6462
18/12/2013,4000,8184
19/12/2013,4000,9865
20/12/2013,0,6498
21/12/2013,0,3383
22/12/2013,0,1396
23/12/2013,6000,4383
24/12/2013,6000,7448
25/12/2013,0,6235
26/12/2013,4000,7931
27/12/2013,0,5184
28/12/2013,6000,9039
29/12/2013,0,7761
30/12/2013,6000,11122
31/12/2013,0,8572
01/01/2014,0,7723
02/01/2014,4000,10112
03/01/2014,0,7888
04/01/2014,0,5772
05/01/2014,0,4408
06/01/2014,4000,5908
07/01/2014,7000,10590
08/01/2014,0,8038
09/01/2014,0,5906
10/01/2014,4000,7445
11/01/2014,0,4923
12/01/2014,0,3028
13/01/2014,4000,4689
14/01/2014,10000,12428
15/01/2014,0,10225
16/01/2014,0,7631
17/01/2014,4000,9404
18/01/2014,0,6801
19/01/2014,0,5031
20/01/2014,4000,6375
21/01/2014,0,4339
22/01/2014,10000,12173
23/01/2014,0,10400
24/01/2014,0,7890
25/01/2014,4000,9160
26/01/2014,0,7275
27/01/2014,6000,10721
28/01/2014,0,8365
29/01/2014,3000,9039
30/01/2014,0,6564
31/01/2014,4000,7880
01/02/2014,0,4485
02/02/2014,0,2401
03/02/2014,4000,3880
04/02/2014,5000,6853
05/02/2014,4000,8095
06/02/2014,0,5440
07/02/2014,10000,12302
08/02/2014,0,9139
09/02/2014,0,6777
10/02/2014,4000,8076
11/02/2014,0,5270
12/02/2014,4000,7089
13/02/2014,0,4966
14/02/2014,0,2132
15/02/2014,10000,9428
16/02/2014,0,7156
17/02/2014,4000,8451
18/02/2014,6000,12715
19/02/2014,0,10784
20/02/2014,0,8265
21/02/2014,4000,9592
22/02/2014,4000,11196
23/02/2014,0,9439
24/02/2014,0,7213
25/02/2014,6000,11264
26/02/2014,0,8848
27/02/2014,6000,12343
28/02/2014,0,9343
01/03/2014,4000,10255
02/03/2014,0,8289
03/03/2014,4000,9859
04/03/2014,0,8278
05/03/2014,0,6092
06/03/2014,6000,9823
07/03/2014,0,7237
08/03/2014,6000,10551
09/03/2014,0,8907
10/03/2014,6000,12161
11/03/2014,0,10301
12/03/2014,4000,11932
13/03/2014,0,9997
14/03/2014,0,7386
15/03/2014,4000,8739
16/03/2014,0,7377
17/03/2014,6000,11301
18/03/2014,0,8964
19/03/2014,0,7002
20/03/2014,3000,7793
21/03/2014,0,5486
22/03/2014,7000,9746
23/03/2014,0,8135
24/03/2014,6000,12293
25/03/2014,0,10487
26/03/2014,0,8612
27/03/2014,4000,10583
28/03/2014,0,8489
29/03/2014,6000,11801
30/03/2014,0,10120
31/03/2014,4000,11784
01/04/2014,0,9958
02/04/2014,0,8108
03/04/2014,4000,10278
04/04/2014,0,7791
05/04/2014,6000,10907
06/04/2014,0,9538
07/04/2014,0,7348
08/04/2014,4000,9251
09/04/2014,0,7421
10/04/2014,6000,11025
11/04/2014,0,8588
12/04/2014,6000,11985
13/04/2014,0,10509
14/04/2014,0,8915
15/04/2014,4000,11099
16/04/2014,0,8958
17/04/2014,6000,12290
18/04/2014,0,10553
19/04/2014,6000,14233
20/04/2014,0,12819
21/04/2014,0,11221
22/04/2014,4000,13237
23/04/2014,0,11124
24/04/2014,0,9418
25/04/2014,4000,11323
26/04/2014,0,9149
27/04/2014,0,7561
28/04/2014,4000,9348
29/04/2014,0,7302
30/04/2014,6000,11429
01/05/2014,0,9934
02/05/2014,0,8063
03/05/2014,4000,10129
04/05/2014,0,8561
05/05/2014,6000,12691
06/05/2014,0,10436
07/05/2014,0,8030
08/05/2014,4000,10063
09/05/2014,0,8157
10/05/2014,6000,11752
11/05/2014,0,10069
12/05/2014,0,7963
13/05/2014,4000,10438
14/05/2014,0,8645
15/05/2014,6000,12918
16/05/2014,0,11112
17/05/2014,4000,13067
18/05/2014,0,11566
19/05/2014,0,9802
20/05/2014,0,7545
21/05/2014,4000,9683
22/05/2014,0,7450
23/05/2014,0,5392
24/05/2014,4000,7325
25/05/2014,0,5821
26/05/2014,10000,13860
27/05/2014,0,12153
28/05/2014,0,10393
29/05/2014,4000,12737
30/05/2014,0,10669
31/05/2014,0,7960
01/06/2014,0,6454
02/06/2014,4000,8475
03/06/2014,0,6667
04/06/2014,6000,10334
05/06/2014,0,8429
06/06/2014,0,6022
07/06/2014,10000,13695
08/06/2014,0,11983
09/06/2014,0,9466
10/06/2014,4000,11367
11/06/2014,0,9136
12/06/2014,0,7364
13/06/2014,4000,9125
14/06/2014,7000,13681
15/06/2014,0,12444
16/06/2014,0,10314
17/06/2014,0,8392
18/06/2014,4000,10289
19/06/2014,0,8604
20/06/2014,0,6470
21/06/2014,4000,8581
22/06/2014,0,7170
23/06/2014,0,5560
24/06/2014,10000,13527
25/06/2014,0,11704
26/06/2014,0,9683
27/06/2014,6000,13371
28/06/2014,0,11063
29/06/2014,0,9600
30/06/2014,4000,11532
01/07/2014,0,9385
02/07/2014,6000,13382
03/07/2014,0,11520
04/07/2014,0,9082
05/07/2014,6000,12559
06/07/2014,0,10915
07/07/2014,0,9235
08/07/2014,6000,13482
09/07/2014,0,12079
10/07/2014,0,9934
11/07/2014,4000,12079
12/07/2014,0,9831
13/07/2014,0,8728
14/07/2014,6000,12777
15/07/2014,0,11214
16/07/2014,0,9195
17/07/2014,6000,13237
18/07/2014,0,10867
19/07/2014,0,8522
20/07/2014,0,6659
21/07/2014,4000,8321
22/07/2014,0,6548
23/07/2014,0,4689
24/07/2014,10000,13181
25/07/2014,0,11211
26/07/2014,0,8996
27/07/2014,0,7545
28/07/2014,4000,9675
29/07/2014,0,7566
30/07/2014,6000,11647
31/07/2014,0,9517
01/08/2014,6000,13237
02/08/2014,0,10666
03/08/2014,0,8999
04/08/2014,6000,12665
05/08/2014,0,10694
06/08/2014,0,8289
07/08/2014,6000,12168
08/08/2014,0,9613
09/08/2014,0,7128
10/08/2014,0,5637
11/08/2014,3000,6242
12/08/2014,7000,11357
13/08/2014,0,9415
14/08/2014,0,7515
15/08/2014,6000,11571
16/08/2014,0,9176
17/08/2014,0,7183
18/08/2014,6000,11084
19/08/2014,0,8942
20/08/2014,0,6625
21/08/2014,4000,7998
22/08/2014,0,5722
23/08/2014,6000,8844
24/08/2014,0,6957
25/08/2014,6000,10545
26/08/2014,0,8284
27/08/2014,0,6472
28/08/2014,0,4312
29/08/2014,6000,7955
30/08/2014,6000,11395
31/08/2014,0,9498
01/09/2014,0,6506
02/09/2014,6000,10092
03/09/2014,0,8057
04/09/2014,6000,12081
05/09/2014,0,9310
06/09/2014,4000,10266
07/09/2014,0,8749
08/09/2014,0,6769
09/09/2014,6000,10355
10/09/2014,0,8529
11/09/2014,6000,12259
12/09/2014,0,9359
13/09/2014,3000,9512
14/09/2014,0,7796
15/09/2014,0,5278
16/09/2014,10000,12674
17/09/2014,0,10505
18/09/2014,0,8340
19/09/2014,4000,9517
20/09/2014,0,6790
21/09/2014,0,5235
22/09/2014,6000,8768
23/09/2014,0,6617
24/09/2014,4000,8680
25/09/2014,0,6318
26/09/2014,0,4045
27/09/2014,7000,8433
28/09/2014,0,6852
29/09/2014,6000,10532
30/09/2014,0,7977
01/10/2014,6000,11463
02/10/2014,0,9044
03/10/2014,0,6273
04/10/2014,4000,7899
05/10/2014,0,6146
06/10/2014,7000,10104
07/10/2014,0,7399
08/10/2014,0,5063
09/10/2014,10000,12722
10/10/2014,4000,13928
11/10/2014,0,11221
12/10/2014,0,9184
13/10/2014,0,6606
14/10/2014,6000,10388
15/10/2014,0,7585
16/10/2014,6000,11291
17/10/2014,0,8437
18/10/2014,6000,11665
19/10/2014,0,9600
20/10/2014,0,7404
21/10/2014,4000,9066
22/10/2014,0,6611
23/10/2014,6000,10038
24/10/2014,0,7683
25/10/2014,6000,10815
26/10/2014,0,8851
27/10/2014,0,6443
28/10/2014,4000,8402
29/10/2014,0,6250
30/10/2014,10000,13945
31/10/2014,0,10995
01/11/2014,0,8481
02/11/2014,0,6519
03/11/2014,6000,9859
04/11/2014,4000,11468
05/11/2014,0,8964
06/11/2014,0,6128
07/11/2014,4000,7329
08/11/2014,0,4215
09/11/2014,0,2054
10/11/2014,4000,3682
11/11/2014,7000,7866
12/11/2014,7000,12401
13/11/2014,0,9932
14/11/2014,6000,13437
15/11/2014,0,10928
16/11/2014,0,8824
17/11/2014,4000,10079
18/11/2014,0,7623
19/11/2014,6000,10648
20/11/2014,0,7958
21/11/2014,4000,9203
22/11/2014,0,6251
23/11/2014,0,4331
24/11/2014,4000,5749
25/11/2014,7000,10446
26/11/2014,0,8081
27/11/2014,6000,11483
28/11/2014,0,8566
29/11/2014,6000,11480
30/11/2014,0,9385
01/12/2014,0,6793
02/12/2014,3000,6992
03/12/2014,7000,11755
04/12/2014,0,9044
05/12/2014,0,5705
06/12/2014,3000,5596
07/12/2014,0,3441
08/12/2014,7000,7644
09/12/2014,6000,11236
10/12/2014,0,8615
11/12/2014,4000,9787
12/12/2014,0,6799
13/12/2014,6000,9661
14/12/2014,0,7418
15/12/2014,4000,8666
16/12/2014,0,5772
17/12/2014,6000,9238
18/12/2014,0,6357
19/12/2014,0,3072
20/12/2014,10000,9935
21/12/2014,0,7882
22/12/2014,4000,9163
23/12/2014,0,6383
24/12/2014,6000,8736
25/12/2014,0,7232
26/12/2014,4000,8316
27/12/2014,0,6045
28/12/2014,0,4148
29/12/2014,6000,7305
30/12/2014,0,4419
31/12/2014,7000,8411
01/01/2015,0,7226
02/01/2015,6000,11147
03/01/2015,0,9198
04/01/2015,0,7793
05/01/2015,6000,11498
06/01/2015,0,9163
07/01/2015,4000,10912
08/01/2015,0,8338
09/01/2015,0,5983
10/01/2015,4000,6755
11/01/2015,0,4926
12/01/2015,6000,8305
13/01/2015,0,5443
14/01/2015,6000,9288
15/01/2015,0,6572
16/01/2015,4000,8076
17/01/2015,0,5168
18/01/2015,0,3105
19/01/2015,10000,10681
20/01/2015,0,8003
21/01/2015,4000,9439
22/01/2015,0,6879
23/01/2015,6000,10145
24/01/2015,0,7337
25/01/2015,0,5708
26/01/2015,4000,7515
27/01/2015,0,5154
28/01/2015,10000,13014
29/01/2015,0,10719
30/01/2015,0,8192
31/01/2015,4000,9265
01/02/2015,0,7342
02/02/2015,6000,10497
03/02/2015,0,7388
04/02/2015,4000,8213
05/02/2015,0,5056
06/02/2015,0,1709
07/02/2015,10000,8572
08/02/2015,0,6548
09/02/2015,6000,9351
10/02/2015,0,6375
11/02/2015,6000,9273
12/02/2015,6000,11630
13/02/2015,6000,13401
14/02/2015,0,10204
15/02/2015,0,8491
16/02/2015,6000,12000
17/02/2015,0,10266
18/02/2015,0,7377
19/02/2015,4000,8392
20/02/2015,0,5016
21/02/2015,10000,11772
22/02/2015,0,9531
23/02/2015,6000,12396
24/02/2015,0,9431
25/02/2015,4000,10360
26/02/2015,0,7372
27/02/2015,4000,7896
28/02/2015,0,4427
01/03/2015,0,2003
02/03/2015,10000,8881
03/03/2015,0,5756
04/03/2015,10000,12746
05/03/2015,0,9281
06/03/2015,4000,9978
07/03/2015,0,6335
08/03/2015,0,3931
09/03/2015,6000,6543
10/03/2015,6000,10033
11/03/2015,0,6946
12/03/2015,4000,7998
13/03/2015,0,4721
14/03/2015,10000,11407
15/03/2015,0,9586
16/03/2015,0,6208
17/03/2015,6000,8881
18/03/2015,6000,11779
19/03/2015,0,8682
20/03/2015,10000,14989
21/03/2015,0,11185
22/03/2015,0,9085
23/03/2015,6000,11564
24/03/2015,0,8222
25/03/2015,4000,9163
26/03/2015,7000,12824
27/03/2015,0,9351
28/03/2015,6000,11818
29/03/2015,0,9578
30/03/2015,6000,12369
31/03/2015,0,9044
01/04/2015,6000,11365
02/04/2015,0,8103
03/04/2015,0,5443
04/04/2015,10000,12449
05/04/2015,0,10598
06/04/2015,4000,11569
07/04/2015,0,8513
08/04/2015,6000,11261
09/04/2015,0,7971
10/04/2015,6000,10817
11/04/2015,0,7709
12/04/2015,0,5374
13/04/2015,10000,12525
14/04/2015,0,9273
15/04/2015,4000,10441
16/04/2015,0,7377
17/04/2015,0,4452
18/04/2015,10000,11249
19/04/2015,0,9538
20/04/2015,4000,10815
21/04/2015,0,8712
22/04/2015,0,5908
23/04/2015,10000,12748
24/04/2015,0,9763
25/04/2015,6000,12653
26/04/2015,0,10709
27/04/2015,6000,13832
28/04/2015,0,11362
29/04/2015,0,8985
30/04/2015,4000,9855
01/05/2015,0,7461
02/05/2015,6000,11094
03/05/2015,0,9294
04/05/2015,6000,12739
05/05/2015,0,10398
06/05/2015,0,7696
07/05/2015,6000,11107
08/05/2015,0,8489
09/05/2015,6000,11388
10/05/2015,0,9474
11/05/2015,6000,12542
12/05/2015,0,9883
13/05/2015,5000,12523
14/05/2015,0,10002
15/05/2015,0,7456
16/05/2015,6000,10366
17/05/2015,0,8615
18/05/2015,6000,12206
19/05/2015,3000,12973
20/05/2015,0,10449
21/05/2015,6000,13933
22/05/2015,0,10870
23/05/2015,3000,11399
24/05/2015,0,10053
25/05/2015,6000,13538
26/05/2015,0,11552
27/05/2015,0,9184
