date,buy_volume,final_volume
01/10/2012,0,5029
02/10/2012,0,4737
03/10/2012,0,4419
04/10/2012,0,4119
05/10/2012,0,3585
06/10/2012,5000,8018
07/10/2012,0,7510
08/10/2012,0,6990
09/10/2012,0,6720
10/10/2012,0,6346
11/10/2012,0,5942
12/10/2012,0,5537
13/10/2012,5000,10149
14/10/2012,0,9866
15/10/2012,0,9577
16/10/2012,0,9161
17/10/2012,0,8886
18/10/2012,0,8520
19/10/2012,0,8193
20/10/2012,0,7779
21/10/2012,0,7445
22/10/2012,0,7086
23/10/2012,0,6816
24/10/2012,0,6445
25/10/2012,0,6226
26/10/2012,0,5785
27/10/2012,0,5311
28/10/2012,0,5018
29/10/2012,5000,9752
30/10/2012,0,9476
31/10/2012,0,9225
01/11/2012,0,8729
02/11/2012,0,8359
03/11/2012,0,7878
04/11/2012,0,7531
05/11/2012,0,7177
06/11/2012,0,6893
07/11/2012,0,6535
08/11/2012,0,6296
09/11/2012,0,5931
10/11/2012,0,5509
11/11/2012,0,5199
12/11/2012,0,4808
13/11/2012,0,4549
14/11/2012,0,4241
15/11/2012,0,4006
16/11/2012,5000,8873
17/11/2012,0,8440
18/11/2012,0,8091
19/11/2012,0,7749
20/11/2012,0,7373
21/11/2012,0,6859
22/11/2012,0,6407
23/11/2012,0,5960
24/11/2012,0,5582
25/11/2012,0,5375
26/11/2012,5000,10232
27/11/2012,0,9973
28/11/2012,0,9540
29/11/2012,0,9156
30/11/2012,0,8737
01/12/2012,0,8155
02/12/2012,0,7775
03/12/2012,0,7354
04/12/2012,0,6912
05/12/2012,0,6658
06/12/2012,0,6248
07/12/2012,0,5761
08/12/2012,0,5062
09/12/2012,0,4778
10/12/2012,5000,9372
11/12/2012,0,9038
12/12/2012,0,8755
13/12/2012,0,8456
14/12/2012,0,7913
15/12/2012,0,7440
16/12/2012,0,7000
17/12/2012,0,6781
18/12/2012,0,6354
19/12/2012,0,5974
20/12/2012,5000,10656
21/12/2012,0,10162
22/12/2012,0,9614
23/12/2012,0,9321
24/12/2012,0,8705
25/12/2012,0,8478
26/12/2012,5000,13139
27/12/2012,0,12813
28/12/2012,0,12372
29/12/2012,0,11969
30/12/2012,0,11721
31/12/2012,0,11237
01/01/2013,0,11098
02/01/2013,0,10669
03/01/2013,0,10390
04/01/2013,0,10118
05/01/2013,0,9794
06/01/2013,0,9709
07/01/2013,0,9441
08/01/2013,0,9182
09/01/2013,0,8921
10/01/2013,0,8606
11/01/2013,0,8169
12/01/2013,0,7811
13/01/2013,0,7547
14/01/2013,0,7236
15/01/2013,0,6987
16/01/2013,0,6688
17/01/2013,0,6493
18/01/2013,0,6101
19/01/2013,0,5558
20/01/2013,0,5235
21/01/2013,0,5008
22/01/2013,0,4788
23/01/2013,5000,9630
24/01/2013,0,9303
25/01/2013,0,9028
26/01/2013,0,8536
27/01/2013,0,8257
28/01/2013,0,7889
29/01/2013,0,7574
30/01/2013,0,7311
31/01/2013,0,7129
01/02/2013,0,6792
02/02/2013,5000,11501
03/02/2013,0,11253
04/02/2013,0,11024
05/02/2013,0,10648
06/02/2013,0,10519
07/02/2013,0,10232
08/02/2013,0,9805
09/02/2013,0,9300
10/02/2013,0,9164
11/02/2013,0,8926
12/02/2013,0,8755
13/02/2013,0,8504
14/02/2013,0,8255
15/02/2013,5000,13044
16/02/2013,0,12543
17/02/2013,0,12285
18/02/2013,0,12044
19/02/2013,0,11878
20/02/2013,0,11561
21/02/2013,0,11225
22/02/2013,0,10879
23/02/2013,0,10552
24/02/2013,0,10316
25/02/2013,0,9989
26/02/2013,0,9739
27/02/2013,0,9540
28/02/2013,0,9295
01/03/2013,0,8886
02/03/2013,0,8456
03/03/2013,0,8268
04/03/2013,0,7956
05/03/2013,0,7752
06/03/2013,0,7491
07/03/2013,0,7204
08/03/2013,0,7000
09/03/2013,0,6730
10/03/2013,0,6434
11/03/2013,0,6120
12/03/2013,0,5942
13/03/2013,0,5648
14/03/2013,0,5355
15/03/2013,5000,10118
16/03/2013,0,9685
17/03/2013,0,9444
18/03/2013,0,9209
19/03/2013,0,8942
20/03/2013,0,8662
21/03/2013,0,8375
22/03/2013,0,8031
23/03/2013,0,7736
24/03/2013,0,7536
25/03/2013,0,7322
26/03/2013,0,6984
27/03/2013,5000,11827
28/03/2013,0,11385
29/03/2013,0,11112
30/03/2013,0,10821
31/03/2013,0,10607
01/04/2013,0,10429
02/04/2013,0,10229
03/04/2013,0,10073
04/04/2013,0,9736
05/04/2013,0,9420
06/04/2013,0,9044
07/04/2013,0,8777
08/04/2013,0,8467
09/04/2013,0,8236
10/04/2013,0,8069
11/04/2013,0,7886
12/04/2013,5000,12591
13/04/2013,0,12324
14/04/2013,0,12088
15/04/2013,0,11837
16/04/2013,0,11519
17/04/2013,0,11285
18/04/2013,0,11084
19/04/2013,0,10806
20/04/2013,0,10343
21/04/2013,0,10031
22/04/2013,0,9741
23/04/2013,0,9529
24/04/2013,0,9209
25/04/2013,0,8964
26/04/2013,0,8750
27/04/2013,0,8520
28/04/2013,0,8349
29/04/2013,0,8136
30/04/2013,0,7870
01/05/2013,0,7687
02/05/2013,0,7429
03/05/2013,5000,12235
04/05/2013,0,11658
05/05/2013,0,11270
06/05/2013,0,10917
07/05/2013,0,10390
08/05/2013,0,10089
09/05/2013,0,9728
10/05/2013,0,9161
11/05/2013,0,8739
12/05/2013,0,8394
13/05/2013,0,8083
14/05/2013,0,7843
15/05/2013,0,7526
16/05/2013,0,7223
17/05/2013,0,6891
18/05/2013,0,6322
19/05/2013,0,6067
20/05/2013,0,5561
21/05/2013,0,5251
22/05/2013,0,4890
23/05/2013,0,4564
24/05/2013,5000,9367
25/05/2013,0,8833
26/05/2013,0,8515
27/05/2013,0,8166
28/05/2013,0,7897
29/05/2013,0,7563
30/05/2013,0,7268
31/05/2013,0,6856
01/06/2013,0,6562
02/06/2013,0,6322
03/06/2013,0,5889
04/06/2013,5000,10666
05/06/2013,0,10245
06/06/2013,0,9749
07/06/2013,0,9396
08/06/2013,5000,14070
09/06/2013,0,13788
10/06/2013,0,13337
11/06/2013,0,13096
12/06/2013,0,12806
13/06/2013,0,12636
14/06/2013,0,12348
15/06/2013,0,11913
16/06/2013,0,11653
17/06/2013,0,11434
