date,buy_volume,final_volume
01/10/2012,0,7548
02/10/2012,15000,18558
03/10/2012,0,15028
04/10/2012,5000,16233
05/10/2012,0,11865
06/10/2012,10000,16869
07/10/2012,0,13549
08/10/2012,10000,19908
09/10/2012,0,16635
10/10/2012,10000,23382
11/10/2012,0,19449
12/10/2012,0,15505
13/10/2012,10000,21934
14/10/2012,0,19444
15/10/2012,10000,26039
16/10/2012,0,22325
17/10/2012,0,18937
18/10/2012,0,15385
19/10/2012,10000,21832
20/10/2012,0,17242
21/10/2012,0,14956
22/10/2012,10000,21744
23/10/2012,0,18846
24/10/2012,10000,25207
25/10/2012,0,21676
26/10/2012,0,17987
27/10/2012,0,13605
28/10/2012,0,11248
29/10/2012,10000,18081
30/10/2012,0,14788
31/10/2012,10000,20985
01/11/2012,5000,21432
02/11/2012,0,17858
03/11/2012,5000,19248
04/11/2012,0,16751
05/11/2012,0,13338
06/11/2012,10000,19344
07/11/2012,0,15328
08/11/2012,10000,21528
09/11/2012,0,18248
10/11/2012,10000,23484
11/11/2012,0,20729
12/11/2012,0,17446
13/11/2012,10000,23790
14/11/2012,0,20231
15/11/2012,0,16697
16/11/2012,10000,23112
17/11/2012,0,19024
18/11/2012,0,16402
19/11/2012,10000,23284
20/11/2012,0,19871
21/11/2012,5000,20748
22/11/2012,0,17448
23/11/2012,5000,18682
24/11/2012,5000,19614
25/11/2012,0,17284
26/11/2012,10000,23833
27/11/2012,5000,25435
28/11/2012,5000,26909
29/11/2012,0,23151
30/11/2012,5000,23904
01/12/2012,5000,24197
02/12/2012,0,20940
03/12/2012,5000,22459
04/12/2012,0,18464
05/12/2012,5000,19178
06/12/2012,5000,19751
07/12/2012,0,15305
08/12/2012,10000,19819
09/12/2012,0,17045
10/12/2012,5000,18233
11/12/2012,5000,19069
12/12/2012,10000,25466
13/12/2012,0,21234
14/12/2012,5000,21259
15/12/2012,5000,22585
16/12/2012,0,19941
17/12/2012,5000,21400
18/12/2012,5000,22390
19/12/2012,5000,24043
20/12/2012,5000,24652
21/12/2012,5000,24852
22/12/2012,0,19584
23/12/2012,0,16516
24/12/2012,5000,16759
25/12/2012,0,14557
26/12/2012,10000,21132
27/12/2012,5000,22510
28/12/2012,0,18152
29/12/2012,5000,19043
30/12/2012,0,16408
31/12/2012,10000,22909
01/01/2013,0,21477
02/01/2013,5000,23959
03/01/2013,0,20751
04/01/2013,0,17298
05/01/2013,5000,18365
06/01/2013,0,15768
07/01/2013,5000,17044
08/01/2013,0,14000
09/01/2013,5000,15854
10/01/2013,5000,18339
11/01/2013,5000,18928
12/01/2013,5000,20265
13/01/2013,0,17548
14/01/2013,5000,19429
15/01/2013,10000,26430
16/01/2013,0,23278
17/01/2013,5000,24994
18/01/2013,5000,25855
19/01/2013,0,21379
20/01/2013,0,18500
21/01/2013,10000,24589
22/01/2013,0,21175
23/01/2013,0,17609
24/01/2013,10000,23985
25/01/2013,0,19748
26/01/2013,5000,20364
27/01/2013,0,17363
28/01/2013,10000,23696
29/01/2013,0,19931
30/01/2013,0,16484
31/01/2013,10000,22855
01/02/2013,0,19259
02/02/2013,5000,19991
03/02/2013,0,17751
04/02/2013,10000,24068
05/02/2013,5000,25667
06/02/2013,0,22402
07/02/2013,0,19223
08/02/2013,10000,24883
09/02/2013,0,20651
10/02/2013,0,18295
11/02/2013,10000,25785
12/02/2013,0,23199
13/02/2013,5000,25164
14/02/2013,5000,27634
15/02/2013,5000,29165
16/02/2013,0,25335
17/02/2013,0,22975
18/02/2013,5000,24561
19/02/2013,5000,26174
20/02/2013,0,21859
21/02/2013,0,18704
22/02/2013,0,15027
23/02/2013,5000,16394
24/02/2013,0,13587
