date,buy_volume,final_volume
01/10/2012,0,4723
02/10/2012,0,3023
03/10/2012,0,1071
04/10/2012,10000,10048
05/10/2012,0,8733
06/10/2012,0,7821
07/10/2012,0,7534
08/10/2012,5000,10750
09/10/2012,0,9797
10/10/2012,5000,13281
11/10/2012,0,11997
12/10/2012,0,11400
13/10/2012,0,10577
14/10/2012,0,10130
15/10/2012,5000,13654
16/10/2012,0,12363
17/10/2012,0,11138
18/10/2012,0,9938
19/10/2012,5000,12794
20/10/2012,0,11620
21/10/2012,0,10957
22/10/2012,0,9505
23/10/2012,0,8448
24/10/2012,5000,12167
25/10/2012,0,10340
26/10/2012,0,7962
27/10/2012,0,7170
28/10/2012,0,6613
29/10/2012,0,5314
30/10/2012,0,4072
31/10/2012,5000,7902
01/11/2012,5000,11680
02/11/2012,0,11063
03/11/2012,0,10074
04/11/2012,0,9706
05/11/2012,0,8151
06/11/2012,0,6651
07/11/2012,0,5488
08/11/2012,5000,9261
09/11/2012,0,7964
10/11/2012,5000,11896
11/11/2012,0,11489
12/11/2012,0,10228
13/11/2012,5000,13344
14/11/2012,0,11903
15/11/2012,0,10758
16/11/2012,0,9204
17/11/2012,0,8097
18/11/2012,0,7032
19/11/2012,5000,10178
20/11/2012,0,9069
21/11/2012,0,7326
22/11/2012,0,5351
23/11/2012,5000,8513
24/11/2012,0,6862
25/11/2012,0,6049
26/11/2012,5000,9703
27/11/2012,0,8557
28/11/2012,5000,11599
29/11/2012,0,10284
30/11/2012,0,9088
01/12/2012,5000,12759
02/12/2012,0,12235
03/12/2012,0,10332
04/12/2012,0,8757
05/12/2012,0,7434
06/12/2012,0,5842
07/12/2012,0,4450
08/12/2012,5000,7807
09/12/2012,0,7323
10/12/2012,5000,10748
11/12/2012,0,9215
12/12/2012,0,7545
13/12/2012,5000,11263
14/12/2012,0,9182
15/12/2012,0,8324
16/12/2012,0,7731
17/12/2012,5000,10925
18/12/2012,0,9245
19/12/2012,0,7401
20/12/2012,0,6022
21/12/2012,0,4601
22/12/2012,5000,8385
23/12/2012,0,7872
24/12/2012,0,7385
25/12/2012,0,7185
26/12/2012,5000,10785
27/12/2012,0,9238
28/12/2012,0,8072
29/12/2012,0,7195
30/12/2012,0,6871
31/12/2012,5000,11307
01/01/2013,0,11172
02/01/2013,0,10078
03/01/2013,0,8591
04/01/2013,0,7239
05/01/2013,0,6288
06/01/2013,0,5812
07/01/2013,0,4780
08/01/2013,5000,8757
09/01/2013,0,7512
10/01/2013,0,6525
11/01/2013,0,5295
12/01/2013,5000,9344
13/01/2013,0,8966
14/01/2013,0,7283
15/01/2013,5000,10996
16/01/2013,0,9374
17/01/2013,0,8008
18/01/2013,0,6541
19/01/2013,0,6146
20/01/2013,0,5829
21/01/2013,5000,9390
22/01/2013,0,8086
23/01/2013,0,7064
24/01/2013,5000,10462
25/01/2013,0,9128
26/01/2013,0,8413
27/01/2013,0,7720
28/01/2013,5000,11400
29/01/2013,0,9717
30/01/2013,0,8248
31/01/2013,0,6487
01/02/2013,0,4789
02/02/2013,5000,8828
03/02/2013,0,8519
04/02/2013,5000,11792
05/02/2013,0,10208
06/02/2013,0,8432
07/02/2013,0,6967
08/02/2013,5000,9843
09/02/2013,0,9123
10/02/2013,0,8738
11/02/2013,5000,12996
12/02/2013,0,12322
13/02/2013,0,10475
14/02/2013,0,8820
15/02/2013,5000,12066
16/02/2013,0,11066
17/02/2013,0,10598
18/02/2013,0,8993
19/02/2013,0,7229
20/02/2013,0,5215
21/02/2013,0,4172
22/02/2013,5000,7937
23/02/2013,0,6759
24/02/2013,0,6291
25/02/2013,0,5351
26/02/2013,5000,8416
27/02/2013,5000,12503
28/02/2013,0,11030
01/03/2013,0,9877
02/03/2013,0,9064
03/03/2013,0,8606
04/03/2013,0,6756
05/03/2013,5000,10833
06/03/2013,0,9572
07/03/2013,0,7729
08/03/2013,0,6406
09/03/2013,0,5127
10/03/2013,0,4579
11/03/2013,5000,8505
12/03/2013,0,6721
13/03/2013,0,5291
14/03/2013,0,4140
15/03/2013,5000,7674
16/03/2013,0,6951
17/03/2013,0,6670
18/03/2013,0,5130
19/03/2013,0,3757
20/03/2013,5000,6986
21/03/2013,0,6108
22/03/2013,0,4708
23/03/2013,5000,9074
24/03/2013,0,8779
25/03/2013,0,6789
26/03/2013,0,5181
27/03/2013,5000,8871
28/03/2013,0,7639
29/03/2013,0,6627
30/03/2013,5000,10682
31/03/2013,0,10189
01/04/2013,0,8091
02/04/2013,0,6600
03/04/2013,0,4807
04/04/2013,5000,8143
05/04/2013,0,6940
06/04/2013,0,5681
07/04/2013,0,5210
08/04/2013,5000,8592
09/04/2013,0,6810
10/04/2013,5000,10750
11/04/2013,0,9341
12/04/2013,5000,12813
13/04/2013,0,11774
14/04/2013,0,11215
15/04/2013,0,9384
16/04/2013,0,7402
17/04/2013,0,5700
18/04/2013,5000,8887
19/04/2013,0,7337
20/04/2013,5000,11466
21/04/2013,0,10729
22/04/2013,0,8977
23/04/2013,0,7091
24/04/2013,5000,10708
25/04/2013,0,8549
26/04/2013,0,7097
27/04/2013,0,5762
28/04/2013,0,5127
29/04/2013,5000,8825
30/04/2013,5000,12515
01/05/2013,0,11732
02/05/2013,0,9556
03/05/2013,0,7818
04/05/2013,5000,11602
05/05/2013,0,10914
06/05/2013,0,9368
07/05/2013,0,7701
08/05/2013,5000,11710
09/05/2013,0,10593
10/05/2013,0,9158
11/05/2013,0,8218
12/05/2013,0,7712
13/05/2013,0,6181
14/05/2013,0,4873
15/05/2013,0,3290
16/05/2013,5000,7097
17/05/2013,0,5306
18/05/2013,5000,9735
19/05/2013,0,9209
20/05/2013,0,7283
21/05/2013,0,5589
22/05/2013,0,4387
23/05/2013,5000,7823
24/05/2013,5000,11712
25/05/2013,0,10470
26/05/2013,0,10050
27/05/2013,0,8568
28/05/2013,0,7523
29/05/2013,0,5963
30/05/2013,0,4978
31/05/2013,5000,8527
01/06/2013,3000,10726
02/06/2013,0,10427
03/06/2013,0,8879
04/06/2013,5000,12553
05/06/2013,0,10771
