date,buy_volume,final_volume
16/01/2011,0,4497
17/01/2011,0,2386
18/01/2011,5000,4508
19/01/2011,0,2410
20/01/2011,5000,5007
21/01/2011,5000,7396
22/01/2011,0,5143
23/01/2011,5000,8294
24/01/2011,0,5772
25/01/2011,5000,8613
26/01/2011,0,6405
27/01/2011,0,4694
28/01/2011,5000,6795
29/01/2011,0,4432
30/01/2011,0,2945
31/01/2011,5000,5650
01/02/2011,0,3299
02/02/2011,5000,6076
03/02/2011,0,3859
04/02/2011,5000,5813
05/02/2011,5000,8026
06/02/2011,0,6173
07/02/2011,0,3825
08/02/2011,0,1709
09/02/2011,5000,4286
10/02/2011,5000,6593
11/02/2011,0,4294
12/02/2011,5000,6380
13/02/2011,0,4871
14/02/2011,5000,7419
15/02/2011,0,5186
16/02/2011,5000,7320
17/02/2011,0,5007
18/02/2011,5000,7360
19/02/2011,0,4405
20/02/2011,0,2561
21/02/2011,0,0
22/02/2011,5000,2749
23/02/2011,5000,5435
24/02/2011,5000,8219
25/02/2011,0,5824
26/02/2011,5000,7914
27/02/2011,0,6320
28/02/2011,0,3602
01/03/2011,5000,6277
02/03/2011,0,3965
03/03/2011,5000,6439
04/03/2011,0,4211
05/03/2011,5000,6337
06/03/2011,0,4932
07/03/2011,5000,8345
08/03/2011,0,7139
09/03/2011,0,5237
10/03/2011,0,2890
11/03/2011,5000,5388
12/03/2011,5000,7965
13/03/2011,0,6695
14/03/2011,0,4651
15/03/2011,5000,7673
16/03/2011,0,6014
17/03/2011,5000,9427
18/03/2011,0,7665
19/03/2011,0,5988
20/03/2011,0,4925
21/03/2011,0,3487
22/03/2011,0,2589
23/03/2011,5000,6110
24/03/2011,0,4985
25/03/2011,0,4078
26/03/2011,5000,7735
27/03/2011,0,7008
28/03/2011,0,5958
29/03/2011,0,4878
30/03/2011,5000,8624
31/03/2011,0,7829
01/04/2011,0,6728
02/04/2011,0,5601
03/04/2011,0,5158
04/04/2011,0,4197
05/04/2011,0,2988
06/04/2011,5000,6733
07/04/2011,0,5432
08/04/2011,0,4098
09/04/2011,5000,7495
10/04/2011,0,6678
11/04/2011,0,5286
12/04/2011,0,4073
13/04/2011,0,2946
14/04/2011,5000,6608
15/04/2011,0,5239
16/04/2011,0,3713
17/04/2011,0,2848
18/04/2011,0,1705
19/04/2011,5000,5077
20/04/2011,0,3549
21/04/2011,0,2470
22/04/2011,0,1753
23/04/2011,5000,5697
24/04/2011,0,4817
25/04/2011,0,3537
26/04/2011,0,2535
27/04/2011,5000,6055
28/04/2011,0,4721
29/04/2011,0,3062
30/04/2011,5000,6321
01/05/2011,0,5250
02/05/2011,0,3551
03/05/2011,5000,7018
04/05/2011,0,5714
05/05/2011,5000,8975
06/05/2011,0,7588
07/05/2011,0,6090
08/05/2011,0,5032
09/05/2011,0,3445
10/05/2011,5000,6818
11/05/2011,0,5285
12/05/2011,5000,8602
13/05/2011,0,6748
14/05/2011,0,4997
15/05/2011,0,3884
16/05/2011,5000,6868
17/05/2011,0,5143
18/05/2011,5000,7988
19/05/2011,0,6347
20/05/2011,5000,9653
21/05/2011,0,7818
22/05/2011,0,6314
23/05/2011,0,4190
24/05/2011,5000,4783
25/05/2011,5000,7322
26/05/2011,0,5466
27/05/2011,5000,7993
28/05/2011,0,6052
29/05/2011,0,4683
30/05/2011,0,2680
31/05/2011,5000,5072
01/06/2011,0,3009
02/06/2011,5000,5600
03/06/2011,0,3065
04/06/2011,5000,5786
05/06/2011,0,4416
06/06/2011,0,2201
07/06/2011,5000,5213
08/06/2011,0,2811
09/06/2011,5000,5380
10/06/2011,0,3381
11/06/2011,5000,6221
12/06/2011,0,5093
13/06/2011,0,3181
14/06/2011,5000,5364
15/06/2011,5000,8470
16/06/2011,0,6281
17/06/2011,0,4100
18/06/2011,5000,6522
19/06/2011,0,5075
20/06/2011,5000,7916
21/06/2011,0,5557
22/06/2011,0,3223
23/06/2011,0,1342
24/06/2011,5000,4464
25/06/2011,5000,7401
26/06/2011,0,6112
27/06/2011,5000,8984
28/06/2011,0,6929
29/06/2011,0,4963
30/06/2011,5000,7922
01/07/2011,0,5249
02/07/2011,0,3012
03/07/2011,0,1554
04/07/2011,5000,4155
05/07/2011,5000,7154
06/07/2011,5000,
07/07/2011,0,7621
08/07/2011,0,5254
09/07/2011,5000,7668
10/07/2011,0,5969
11/07/2011,0,3752
12/07/2011,5000,6934
13/07/2011,0,4865
14/07/2011,5000,7759
15/07/2011,0,5414
16/07/2011,5000,8133
17/07/2011,0,6713
18/07/2011,0,4387
19/07/2011,0,2256
20/07/2011,5000,4875
21/07/2011,5000,7267
22/07/2011,0,4935
23/07/2011,5000,7385
24/07/2011,0,5565
25/07/2011,0,3389
26/07/2011,5000,6187
27/07/2011,0,4046
28/07/2011,5000,6866
29/07/2011,0,4495
30/07/2011,5000,7494
31/07/2011,0,5866
01/08/2011,0,3268
02/08/2011,5000,6123
03/08/2011,0,4001
04/08/2011,5000,7013
05/08/2011,0,4823
06/08/2011,5000,7326
07/08/2011,0,5857
08/08/2011,0,3559
09/08/2011,5000,6568
10/08/2011,0,4701
11/08/2011,5000,7160
12/08/2011,0,4986
13/08/2011,5000,6887
14/08/2011,0,5230
15/08/2011,0,3068
16/08/2011,5000,5569
17/08/2011,0,3617
18/08/2011,5000,6535
19/08/2011,0,4315
20/08/2011,5000,6989
21/08/2011,0,5698
22/08/2011,0,3745
23/08/2011,5000,6902
24/08/2011,0,4957
25/08/2011,5000,7528
26/08/2011,0,4612
27/08/2011,5000,7211
28/08/2011,0,5541
29/08/2011,0,3391
30/08/2011,5000,6300
31/08/2011,0,4090
01/09/2011,5000,6882
02/09/2011,0,4121
03/09/2011,5000,6599
04/09/2011,0,4871
05/09/2011,0,2931
06/09/2011,0,743
07/09/2011,0,153
08/09/2011,10000,8593
09/09/2011,0,6545
10/09/2011,0,4629
11/09/2011,0,3207
12/09/2011,0,1425
13/09/2011,5000,4427
14/09/2011,5000,7638
15/09/2011,0,5690
16/09/2011,0,3158
17/09/2011,5000,6151
18/09/2011,0,4478
19/09/2011,0,2134
20/09/2011,5000,4808
21/09/2011,0,2183
22/09/2011,5000,4822
23/09/2011,0,2964
24/09/2011,5000,5372
25/09/2011,0,3650
26/09/2011,0,1507
27/09/2011,5000,4381
28/09/2011,0,2276
29/09/2011,5000,5052
30/09/2011,5000,7627
01/10/2011,0,5030
