date,buy_volume,final_volume
16/01/2011,0,7295
17/01/2011,5000,8541
18/01/2011,0,5185
19/01/2011,5000,7146
20/01/2011,5000,8677
21/01/2011,5000,9910
22/01/2011,5000,10784
23/01/2011,0,8094
24/01/2011,5000,9553
25/01/2011,5000,11213
26/01/2011,0,7858
27/01/2011,5000,9529
28/01/2011,5000,9950
29/01/2011,5000,10940
30/01/2011,0,7832
31/01/2011,5000,9745
01/02/2011,5000,11006
02/02/2011,0,7120
03/02/2011,5000,8623
04/02/2011,5000,9460
05/02/2011,5000,10832
06/02/2011,0,7838
07/02/2011,5000,9231
08/02/2011,5000,10769
09/02/2011,0,6663
10/02/2011,5000,7830
11/02/2011,5000,9343
12/02/2011,5000,9797
13/02/2011,0,7014
14/02/2011,5000,8625
15/02/2011,5000,9683
16/02/2011,5000,10999
17/02/2011,0,7301
18/02/2011,5000,8100
19/02/2011,5000,9009
20/02/2011,0,6168
21/02/2011,5000,6820
22/02/2011,5000,7976
23/02/2011,5000,9280
24/02/2011,5000,10546
25/02/2011,0,6228
26/02/2011,5000,6948
27/02/2011,0,3902
28/02/2011,5000,4052
01/03/2011,10000,9892
02/03/2011,5000,10619
03/03/2011,0,6577
04/03/2011,5000,6185
05/03/2011,5000,6505
06/03/2011,0,3341
07/03/2011,5000,5339
08/03/2011,0,2993
09/03/2011,5000,4438
10/03/2011,5000,5422
11/03/2011,10000,11147
12/03/2011,0,6600
13/03/2011,0,3672
14/03/2011,5000,4459
15/03/2011,10000,10452
16/03/2011,5000,10691
17/03/2011,0,6446
18/03/2011,5000,6957
19/03/2011,5000,6383
20/03/2011,0,2785
21/03/2011,5000,3103
22/03/2011,5000,4190
23/03/2011,10000,9799
24/03/2011,0,4916
25/03/2011,5000,4749
26/03/2011,5000,4508
27/03/2011,0,1077
28/03/2011,10000,8967
29/03/2011,5000,9093
30/03/2011,5000,9504
31/03/2011,0,5056
01/04/2011,5000,3698
02/04/2011,10000,8410
03/04/2011,0,4754
04/04/2011,5000,4457
05/04/2011,5000,4776
06/04/2011,5000,4589
07/04/2011,10000,10219
08/04/2011,5000,9984
09/04/2011,5000,9961
10/04/2011,0,6663
11/04/2011,5000,6976
12/04/2011,5000,7676
13/04/2011,5000,8468
14/04/2011,5000,9087
15/04/2011,5000,9403
16/04/2011,5000,9527
17/04/2011,0,6320
18/04/2011,10000,10822
19/04/2011,5000,11586
20/04/2011,5000,11732
21/04/2011,5000,12349
22/04/2011,0,9507
23/04/2011,5000,11029
24/04/2011,0,8804
25/04/2011,5000,10286
26/04/2011,5000,11627
27/04/2011,5000,12961
28/04/2011,0,9249
29/04/2011,5000,9588
30/04/2011,0,4775
01/05/2011,0,2040
02/05/2011,10000,8135
03/05/2011,5000,8901
04/05/2011,5000,9369
05/05/2011,5000,10839
06/05/2011,5000,11390
07/05/2011,5000,11712
08/05/2011,0,7815
09/05/2011,5000,8611
10/05/2011,5000,9539
11/05/2011,5000,10167
12/05/2011,5000,10703
13/05/2011,0,6661
14/05/2011,5000,7444
15/05/2011,0,4343
16/05/2011,5000,5421
17/05/2011,10000,11237
18/05/2011,0,7206
19/05/2011,5000,8450
20/05/2011,5000,8867
21/05/2011,5000,9193
22/05/2011,0,6214
23/05/2011,5000,7073
24/05/2011,5000,7499
25/05/2011,5000,8458
26/05/2011,5000,9206
27/05/2011,5000,9811
28/05/2011,5000,9900
29/05/2011,0,6838
30/05/2011,5000,7314
31/05/2011,5000,8272
01/06/2011,5000,9018
02/06/2011,5000,9823
03/06/2011,5000,9572
04/06/2011,5000,9460
05/06/2011,0,6329
06/06/2011,5000,7542
07/06/2011,5000,8602
08/06/2011,5000,8990
09/06/2011,5000,10175
10/06/2011,5000,10973
11/06/2011,0,5975
12/06/2011,0,2894
13/06/2011,5000,4110
14/06/2011,10000,10768
15/06/2011,5000,11788
16/06/2011,0,7932
17/06/2011,5000,8419
18/06/2011,5000,8643
19/06/2011,0,5595
20/06/2011,5000,7159
21/06/2011,5000,7734
22/06/2011,5000,7803
23/06/2011,0,4007
24/06/2011,5000,5203
25/06/2011,10000,11484
26/06/2011,0,8958
27/06/2011,5000,10161
28/06/2011,5000,11280
29/06/2011,0,7243
30/06/2011,5000,8303
01/07/2011,5000,8512
02/07/2011,5000,8708
03/07/2011,0,5712
04/07/2011,5000,6815
05/07/2011,5000,7563
06/07/2011,5000,8343
07/07/2011,5000,9399
08/07/2011,5000,9265
