date,buy_volume,final_volume
26/07/2012,5000,4985
27/07/2012,0,4621
28/07/2012,0,4310
29/07/2012,0,4302
30/07/2012,0,3679
31/07/2012,0,3412
01/08/2012,0,1875
02/08/2012,5000,5795
03/08/2012,0,4336
04/08/2012,0,3681
05/08/2012,0,3105
06/08/2012,0,1801
07/08/2012,5000,6308
08/08/2012,0,5724
09/08/2012,0,5510
10/08/2012,5000,9536
11/08/2012,0,8727
12/08/2012,0,8727
13/08/2012,0,6549
14/08/2012,0,5754
15/08/2012,0,5043
16/08/2012,5000,8258
17/08/2012,0,6193
18/08/2012,0,5667
19/08/2012,0,5583
20/08/2012,0,5070
21/08/2012,0,3979
22/08/2012,5000,7465
23/08/2012,0,4837
24/08/2012,0,3378
25/08/2012,0,1882
26/08/2012,0,1660
27/08/2012,5000,5283
28/08/2012,0,3872
29/08/2012,5000,7686
30/08/2012,0,6135
31/08/2012,0,5527
01/09/2012,0,4473
02/09/2012,0,3769
03/09/2012,5000,6977
04/09/2012,0,5510
05/09/2012,0,4766
06/09/2012,5000,7961
07/09/2012,0,7760
08/09/2012,0,6833
09/09/2012,0,6699
10/09/2012,0,6004
11/09/2012,0,3487
12/09/2012,0,2361
13/09/2012,5000,5556
14/09/2012,0,3952
15/09/2012,5000,7073
16/09/2012,0,6696
17/09/2012,0,6050
18/09/2012,0,5125
19/09/2012,5000,7826
20/09/2012,0,6828
21/09/2012,0,5401
22/09/2012,0,4607
23/09/2012,0,4125
24/09/2012,5000,7695
25/09/2012,0,6875
26/09/2012,0,5133
27/09/2012,0,4420
28/09/2012,0,2680
29/09/2012,5000,6090
30/09/2012,0,5981
01/10/2012,0,4994
02/10/2012,0,2189
03/10/2012,5000,5812
04/10/2012,0,4854
05/10/2012,5000,8087
06/10/2012,0,7450
07/10/2012,0,7301
08/10/2012,0,6433
09/10/2012,0,5337
10/10/2012,5000,8449
11/10/2012,0,7369
12/10/2012,0,6569
13/10/2012,0,5162
14/10/2012,0,5113
15/10/2012,5000,8738
16/10/2012,0,6289
17/10/2012,0,4150
18/10/2012,5000,7707
19/10/2012,0,5277
20/10/2012,0,4048
21/10/2012,0,3872
22/10/2012,5000,6723
23/10/2012,0,4906
24/10/2012,0,3020
25/10/2012,5000,5535
26/10/2012,0,3905
27/10/2012,0,3404
28/10/2012,0,3268
29/10/2012,0,1614
30/10/2012,5000,4320
31/10/2012,0,1739
01/11/2012,5000,5688
02/11/2012,0,4725
03/11/2012,5000,7455
04/11/2012,0,7128
05/11/2012,0,4527
06/11/2012,0,1852
07/11/2012,5000,4646
08/11/2012,5000,8238
09/11/2012,0,4873
10/11/2012,0,3471
11/11/2012,0,3306
12/11/2012,5000,7305
13/11/2012,5000,9635
14/11/2012,0,7460
15/11/2012,0,6083
16/11/2012,0,4653
17/11/2012,0,2691
18/11/2012,0,2279
19/11/2012,5000,5670
20/11/2012,0,4528
21/11/2012,0,3566
22/11/2012,5000,5068
23/11/2012,0,2881
24/11/2012,5000,5639
25/11/2012,0,5336
26/11/2012,0,3908
27/11/2012,5000,7045
28/11/2012,0,5462
29/11/2012,0,2808
30/11/2012,5000,5416
01/12/2012,0,3277
02/12/2012,0,3084
03/12/2012,5000,4299
04/12/2012,0,1874
05/12/2012,5000,4313
06/12/2012,5000,6741
07/12/2012,0,3662
08/12/2012,5000,7441
09/12/2012,0,7057
10/12/2012,0,4192
11/12/2012,0,725
12/12/2012,5000,4005
13/12/2012,5000,5348
14/12/2012,0,2246
15/12/2012,5000,5802
16/12/2012,0,4930
17/12/2012,5000,8191
18/12/2012,0,4998
19/12/2012,5000,6848
20/12/2012,0,3584
21/12/2012,5000,5962
22/12/2012,0,4083
23/12/2012,0,3584
24/12/2012,5000,7379
25/12/2012,0,7116
26/12/2012,0,3808
27/12/2012,5000,6586
28/12/2012,0,3972
29/12/2012,5000,6577
30/12/2012,0,5799
31/12/2012,0,5039
01/01/2013,0,0
02/01/2013,5000,7658
02/01/2013,0,0
03/01/2013,0,5517
04/01/2013,0,2507
05/01/2013,5000,5079
06/01/2013,0,4038
07/01/2013,0,2738
08/01/2013,5000,5795
09/01/2013,0,2754
10/01/2013,5000,5106
11/01/2013,0,1788
12/01/2013,5000,4992
13/01/2013,0,4448
14/01/2013,0,2751
15/01/2013,5000,5000
16/01/2013,5000,6855
17/01/2013,0,3469
18/01/2013,5000,4572
19/01/2013,0,2228
20/01/2013,0,1704
21/01/2013,5000,3955
22/01/2013,5000,5834
23/01/2013,0,3642
24/01/2013,5000,6404
25/01/2013,0,3770
26/01/2013,5000,7060
27/01/2013,0,6426
28/01/2013,0,2702
29/01/2013,5000,4770
30/01/2013,5000,6827
31/01/2013,0,4014
01/02/2013,5000,5781
02/02/2013,0,2089
03/02/2013,0,1656
04/02/2013,5000,4758
05/02/2013,5000,5621
06/02/2013,0,2777
07/02/2013,5000,4496
08/02/2013,5000,6496
09/02/2013,0,1651
10/02/2013,0,212
11/02/2013,5000,3666
12/02/2013,0,1451
13/02/2013,5000,4990
14/02/2013,5000,8103
15/02/2013,0,4608
16/02/2013,5000,6243
17/02/2013,0,5463
18/02/2013,0,2109
19/02/2013,5000,3847
20/02/2013,10000,9291
21/02/2013,0,6641
22/02/2013,5000,8783
23/02/2013,0,5875
24/02/2013,0,4552
25/02/2013,5000,5797
26/02/2013,5000,8527
27/02/2013,5000,8784
28/02/2013,0,5709
01/03/2013,5000,7187
02/03/2013,5000,7674
03/03/2013,0,6600
04/03/2013,5000,8185
05/03/2013,0,4037
06/03/2013,5000,5371
07/03/2013,5000,6033
08/03/2013,5000,8696
09/03/2013,0,6413
10/03/2013,0,5792
11/03/2013,5000,7687
12/03/2013,5000,9487
13/03/2013,3000,8096
14/03/2013,4000,7869
15/03/2013,3000,6728
16/03/2013,4000,7193
17/03/2013,0,5855
18/03/2013,5000,7022
19/03/2013,4000,7681
20/03/2013,4000,7786
21/03/2013,0,3973
22/03/2013,5000,4523
23/03/2013,6000,9026
24/03/2013,0,8545
25/03/2013,4000,7920
26/03/2013,0,4069
27/03/2013,5000,4925
28/03/2013,5000,6414
29/03/2013,0,4684
30/03/2013,7000,7993
31/03/2013,0,7409
01/04/2013,5000,8258
02/04/2013,0,5685
03/04/2013,5000,6458
04/04/2013,4000,4718
05/04/2013,4000,3658
06/04/2013,7000,7471
07/04/2013,0,6901
08/04/2013,5000,7985
09/04/2013,3000,7747
10/04/2013,4000,6428
11/04/2013,3000,6577
12/04/2013,3000,4128
13/04/2013,5000,5428
14/04/2013,0,5085
15/04/2013,4000,7138
16/04/2013,5000,9101
17/04/2013,3000,7548
18/04/2013,4000,8038
19/04/2013,5000,9003
20/04/2013,3000,9076
21/04/2013,0,7494
22/04/2013,5000,7567
23/04/2013,0,5485
24/04/2013,4000,4538
25/04/2013,6000,6098
26/04/2013,10000,12046
27/04/2013,3000,11924
28/04/2013,0,11741
29/04/2013,5000,14176
30/04/2013,0,10239
01/05/2013,0,8852
02/05/2013,4000,8642
03/05/2013,5000,8792
04/05/2013,6000,11795
05/05/2013,0,10778
06/05/2013,5000,11628
07/05/2013,3000,12280
08/05/2013,5000,11764
09/05/2013,4000,10836
10/05/2013,5000,11741
11/05/2013,5000,13432
12/05/2013,0,13041
13/05/2013,5000,14637
14/05/2013,0,10483
15/05/2013,4000,10895
16/05/2013,4000,9749
17/05/2013,5000,10523
18/05/2013,4000,11681
19/05/2013,0,11414
20/05/2013,5000,12625
21/05/2013,3000,11602
22/05/2013,5000,13634
23/05/2013,4000,13775
24/05/2013,3000,14366
25/05/2013,4000,13369
26/05/2013,0,12813
27/05/2013,3000,13845
28/05/2013,5000,13504
29/05/2013,0,10673
30/05/2013,0,8039
31/05/2013,5000,10473
01/06/2013,5000,12318
02/06/2013,0,12024
03/06/2013,5000,13093
04/06/2013,0,8549
05/06/2013,5000,8671
06/06/2013,5000,9174
07/06/2013,5000,10216
08/06/2013,5000,11139
09/06/2013,0,10495
10/06/2013,3000,11116
11/06/2013,5000,12246
12/06/2013,3000,12997
13/06/2013,5000,12349
14/06/2013,0,9316
15/06/2013,5000,10301
16/06/2013,0,9624
17/06/2013,5000,10798
18/06/2013,3000,8328
19/06/2013,3000,7788
20/06/2013,5000,8758
21/06/2013,6000,12334
22/06/2013,5000,13913
23/06/2013,0,13316
24/06/2013,3000,13202
25/06/2013,0,8881
26/06/2013,5000,10374
27/06/2013,5000,11474
28/06/2013,5000,12208
29/06/2013,3000,12723
30/06/2013,0,12317
01/07/2013,0,7328
02/07/2013,5000,7235
03/07/2013,5000,7917
04/07/2013,8000,12929
05/07/2013,3000,10895
06/07/2013,5000,12274
07/07/2013,0,11568
08/07/2013,3000,10827
09/07/2013,0,8273
10/07/2013,3000,7375
11/07/2013,5000,9373
12/07/2013,7000,12431
13/07/2013,0,7746
14/07/2013,0,6861
15/07/2013,4000,8378
16/07/2013,5000,9362
17/07/2013,5000,9611
18/07/2013,4000,9689
19/07/2013,5000,10119
20/07/2013,5000,10590
21/07/2013,0,10470
22/07/2013,5000,11298
23/07/2013,0,6461
24/07/2013,10000,12704
25/07/2013,0,8295
26/07/2013,0,4851
27/07/2013,10000,11553
28/07/2013,0,11077
29/07/2013,0,6785
30/07/2013,0,3418
31/07/2013,10000,9774
01/08/2013,5000,8078
02/08/2013,5000,8541
03/08/2013,5000,9583
04/08/2013,0,8496
05/08/2013,3000,6897
06/08/2013,5000,7504
07/08/2013,10000,13362
08/08/2013,3000,11383
09/08/2013,4000,10506
10/08/2013,5000,12254
11/08/2013,0,10899
12/08/2013,5000,11904
13/08/2013,3000,8856
14/08/2013,10000,12807
15/08/2013,0,8306
16/08/2013,6000,9206
17/08/2013,5000,9307
18/08/2013,0,8648
19/08/2013,5000,9653
20/08/2013,6000,11341
21/08/2013,5000,11586
22/08/2013,3000,10660
23/08/2013,4000,10249
24/08/2013,5000,12311
25/08/2013,0,11904
26/08/2013,0,7595
27/08/2013,10000,13228
28/08/2013,5000,13353
29/08/2013,5000,14461
30/08/2013,4000,13784
31/08/2013,0,8448
01/09/2013,0,7368
02/09/2013,5000,8958
03/09/2013,5000,9543
04/09/2013,6000,10309
05/09/2013,4000,10059
06/09/2013,5000,11186
07/09/2013,4000,13346
08/09/2013,0,12677
09/09/2013,5000,13313
10/09/2013,3000,10236
11/09/2013,5000,10570
12/09/2013,3000,9994
13/09/2013,5000,11102
14/09/2013,4000,10575
15/09/2013,0,9495
16/09/2013,5000,10541
17/09/2013,5000,11012
18/09/2013,5000,11316
19/09/2013,4000,11041
20/09/2013,5000,11159
21/09/2013,5000,12656
22/09/2013,0,12161
23/09/2013,4000,13383
24/09/2013,4000,12381
25/09/2013,5000,12664
26/09/2013,3000,9679
27/09/2013,5000,10585
28/09/2013,5000,10850
29/09/2013,0,10570
30/09/2013,5000,11938
01/10/2013,3000,10075
02/10/2013,5000,9824
03/10/2013,5000,10464
04/10/2013,5000,10287
05/10/2013,5000,12218
06/10/2013,0,11671
07/10/2013,5000,11678
08/10/2013,3000,10344
09/10/2013,5000,11530
10/10/2013,5000,12732
11/10/2013,5000,11640
12/10/2013,3000,12552
13/10/2013,0,12014
14/10/2013,0,8309
15/10/2013,5000,7634
16/10/2013,5000,7571
17/10/2013,6000,6734
18/10/2013,5000,8700
19/10/2013,5000,10247
20/10/2013,0,9676
21/10/2013,5000,9772
22/10/2013,5000,9871
23/10/2013,0,3189
24/10/2013,9000,6800
25/10/2013,5000,6460
26/10/2013,5000,6263
27/10/2013,0,5977
28/10/2013,5000,6462
29/10/2013,5000,5732
30/10/2013,5000,4103
31/10/2013,7000,6046
01/11/2013,5000,4407
02/11/2013,0,1094
03/11/2013,0,495
04/11/2013,10000,7871
05/11/2013,10000,11658
06/11/2013,0,7953
07/11/2013,10000,13482
08/11/2013,0,8482
09/11/2013,5000,7828
10/11/2013,0,7158
11/11/2013,5000,6428
12/11/2013,5000,6700
13/11/2013,5000,6734
14/11/2013,8000,9017
15/11/2013,0,6030
16/11/2013,5000,5933
17/11/2013,0,4591
18/11/2013,5000,4564
19/11/2013,10000,8840
20/11/2013,0,3301
21/11/2013,10000,8208
22/11/2013,5000,6094
23/11/2013,7000,7597
24/11/2013,0,5794
25/11/2013,5000,6198
26/11/2013,5000,6601
27/11/2013,10000,10813
28/11/2013,5000,11505
29/11/2013,5000,11323
30/11/2013,5000,11651
01/12/2013,0,10590
02/12/2013,5000,10140
03/12/2013,5000,10702
04/12/2013,5000,10262
05/12/2013,4000,10654
06/12/2013,5000,9782
07/12/2013,5000,9149
08/12/2013,0,7512
09/12/2013,5000,7746
10/12/2013,5000,6305
11/12/2013,10000,10693
12/12/2013,5000,9527
13/12/2013,5000,8997
14/12/2013,5000,9760
15/12/2013,0,8898
16/12/2013,5000,8611
17/12/2013,5000,8110
18/12/2013,5000,7313
19/12/2013,7000,8837
20/12/2013,5000,6801
21/12/2013,5000,7116
22/12/2013,0,5278
23/12/2013,5000,6627
24/12/2013,5000,8157
25/12/2013,0,7973
