date,buy_volume,final_volume
16/01/2011,0,38082,
17/01/2011,25000,41075,
18/01/2011,25000,44263,
19/01/2011,15000,34637,
20/01/2011,15000,30619,
21/01/2011,25000,29331,
22/01/2011,25000,38703,
23/01/2011,0,33752,
24/01/2011,25000,36408,
25/01/2011,15000,31635,
26/01/2011,25000,35227,
27/01/2011,25000,36888,
28/01/2011,15000,30447,
29/01/2011,25000,41497,
30/01/2011,0,36634,
31/01/2011,25000,43656,
01/02/2011,15000,25832,
02/02/2011,35000,39094,
03/02/2011,25000,42301,
04/02/2011,15000,30801,
05/02/2011,25000,42180,
06/02/2011,0,36261,
07/02/2011,25000,41363,
08/02/2011,25000,43499,
09/02/2011,0,21769,
10/02/2011,20000,19575,
11/02/2011,35000,29635,
12/02/2011,25000,39422,
13/02/2011,0,33783,
14/02/2011,25000,34669,
15/02/2011,15000,28606,
16/02/2011,25000,30606,
17/02/2011,30000,31628,
18/02/2011,20000,27471,
19/02/2011,25000,36892,
20/02/2011,0,30761,
21/02/2011,25000,35019,
22/02/2011,20000,29505,
23/02/2011,25000,32513,
24/02/2011,25000,31513,
25/02/2011,25000,34785,
26/02/2011,25000,40341,
27/02/2011,0,33990,
28/02/2011,20000,34963,
01/03/2011,20000,28409,
02/03/2011,25000,26612,
03/03/2011,30000,32271,
04/03/2011,25000,33239,
05/03/2011,25000,40714,
06/03/2011,0,32618,
07/03/2011,25000,37839,
08/03/2011,0,24201,
09/03/2011,25000,30554,
10/03/2011,25000,31618,
11/03/2011,30000,40682,
12/03/2011,20000,45338,
13/03/2011,0,40404,
14/03/2011,25000,42273,
15/03/2011,20000,45502,
16/03/2011,25000,38477,
17/03/2011,25000,38201,
18/03/2011,20000,32286,
19/03/2011,25000,41095,
20/03/2011,0,36958,
21/03/2011,25000,42520,
22/03/2011,20000,42051,
23/03/2011,20000,38831,
24/03/2011,25000,43818,
25/03/2011,20000,44180,
26/03/2011,25000,52217,
27/03/2011,0,47453,
28/03/2011,20000,47547,
29/03/2011,15000,40997,
30/03/2011,15000,34345,
31/03/2011,25000,40365,
01/04/2011,25000,40608,
02/04/2011,20000,42230,
03/04/2011,0,37249,
04/04/2011,20000,38783,
05/04/2011,25000,39480,
06/04/2011,20000,36286,
07/04/2011,20000,32257,
08/04/2011,25000,35191,
09/04/2011,20000,37325,
10/04/2011,0,32636,
11/04/2011,25000,37338,
12/04/2011,25000,36638,
13/04/2011,25000,36600,
14/04/2011,25000,38250,
15/04/2011,25000,36838,
16/04/2011,25000,43685,
17/04/2011,0,38359,
18/04/2011,20000,33748,
19/04/2011,25000,35635,
20/04/2011,25000,36402,
21/04/2011,25000,42045,
22/04/2011,0,30442,
23/04/2011,25000,37303,
24/04/2011,0,31500,
25/04/2011,30000,39748,
26/04/2011,20000,34327,
27/04/2011,25000,32795,
28/04/2011,25000,35581,
29/04/2011,25000,36597,
30/04/2011,25000,48835,
01/05/2011,0,44299,
02/05/2011,25000,44004,
03/05/2011,25000,42025,
04/05/2011,20000,35879,
05/05/2011,25000,37063,
06/05/2011,25000,39304,
07/05/2011,25000,47561,
08/05/2011,0,43154,
09/05/2011,25000,48543,
10/05/2011,20000,42952,
11/05/2011,20000,37433,
12/05/2011,25000,38795,
13/05/2011,25000,42392,
14/05/2011,20000,40054,
15/05/2011,0,34830,
16/05/2011,25000,34935,
17/05/2011,20000,33094,
18/05/2011,30000,40387,
19/05/2011,25000,41853,
20/05/2011,25000,43831,
21/05/2011,20000,46036,
22/05/2011,0,39629,
23/05/2011,25000,44581,
24/05/2011,20000,43288,
25/05/2011,20000,39646,
26/05/2011,25000,42406,
27/05/2011,20000,41655,
28/05/2011,20000,43504,
29/05/2011,0,38920,
30/05/2011,25000,44324,
31/05/2011,20000,38678,
01/06/2011,25000,31612,
02/06/2011,30000,38802,
03/06/2011,30000,47159,
04/06/2011,15000,43937,
05/06/2011,0,38704,
06/06/2011,25000,43513,
07/06/2011,20000,37588,
08/06/2011,25000,39537,
09/06/2011,25000,36398,
10/06/2011,25000,35327,
11/06/2011,25000,42050,
12/06/2011,0,38098,
13/06/2011,25000,43078,
14/06/2011,20000,38168,
15/06/2011,25000,40176,
16/06/2011,25000,36543,
17/06/2011,25000,36289,
18/06/2011,25000,44127,
19/06/2011,0,38748,
20/06/2011,20000,35454,
21/06/2011,25000,36394,
22/06/2011,25000,40314,
23/06/2011,0,25230,
24/06/2011,30000,31856,
25/06/2011,20000,33401,
26/06/2011,0,28698,
27/06/2011,25000,31695,
28/06/2011,25000,33421,
29/06/2011,25000,34656,
30/06/2011,30000,42185,
01/07/2011,20000,33128,
02/07/2011,25000,42325,
03/07/2011,0,37729,
04/07/2011,25000,41280,
05/07/2011,20000,36830,
06/07/2011,25000,37624,
07/07/2011,25000,39582,
08/07/2011,20000,34578,
09/07/2011,25000,46009,
10/07/2011,0,43034,
11/07/2011,25000,44025,
12/07/2011,20000,37626,
13/07/2011,20000,34801,
14/07/2011,25000,37490,
15/07/2011,25000,40197,
16/07/2011,25000,44462,
17/07/2011,0,40771,
18/07/2011,20000,39616,
19/07/2011,20000,33707,
20/07/2011,25000,32919,
21/07/2011,25000,33584,
22/07/2011,30000,40983,
23/07/2011,20000,40558,
